Participante,Bloque,Tipo_Problema,Orden_Presentacion,Resuelto,Tiempo_Segundos,Observaciones
P08,1,C,1,S,66,
P08,1,A,2,S,107,
P08,1,D,3,S,99,
P08,1,B,4,N,300,No he encontrado la solución
P08,2,C,1,S,16,
P08,2,D,2,S,90,
P08,2,B,3,N,92,
P08,2,A,4,S,41,
