Participante,Bloque,Tipo_Problema,Orden_Presentacion,Resuelto,Tiempo_Segundos,Observaciones
P05,1,C,1,S,225,Yupi
P05,1,A,2,S,61,Me daba error por no ponerlo  derecho
P05,1,D,3,S,23,Yupi
P05,1,B,4,S,250,Yupi
P05,2,B,1,S,69,Yupi
P05,2,C,2,S,53,Yupi
P05,2,D,3,S,283,Yupi
P05,2,A,4,S,45,Yupi
